id,code,sku,site,descricao,marca,modelo,cache,frequencia,socket
80,KB-PR-80,BX80662I56600K,Kabum,"Processador Intel Core i5-6600K Skylake, Cache 6MB, 3.5GHz (3.9GHz Max Turbo), LGA 1151, Intel HD Graphics 530 BX80662I56600K",Intel,Core i5-6600K Skylake,6MB,3.5GHz (3.9GHz Max Turbo),LGA 1151
81,KB-PR-81,BX8069510980XE,Kabum,"Processador Intel Core i9-10980XE Cascade Lake, Cache 24.75MB, 3GHz (4.8GHz Max Turbo), LGA 2066 - BX8069510980XE",Intel,Core i9-10980XE Cascade Lake,24.75MB,3GHz (4.8GHz Max Turbo),LGA 2066
82,KB-PR-82,BX80677I57640X,Kabum,"Processador Intel Core i5-7640X Kaby Lake, Cache 6MB, 4GHz (4.2GHz Max Turbo), LGA 2066 - BX80677I57640X",Intel,Core i5-7640X Kaby Lake,6MB,4GHz (4.2GHz Max Turbo),LGA 2066
83,KB-PR-83,BX80673I99820X,Kabum,"Processador Intel Core i9-9820X Skylake, Cache 16.5MB, 3.3GHz (4.2GHz Max Turbo), LGA 2066 - BX80673I99820X",Intel,Core i9-9820X Skylake,16.5MB,3.3GHz (4.2GHz Max Turbo),LGA 2066
84,KB-PR-84,BX80677G4600,Kabum,"Processador Intel Pentium G4600 Kaby Lake, Cache 3MB, 3.6Ghz, LGA 1151, Intel HD Graphics 630 - BX80677G4600",Intel,Pentium G4600 Kaby Lake,3MB,3.6Ghz,LGA 1151
85,KB-PR-85,BX80646I74790K,Kabum,"Processador Intel Core i7-4790K  Haswell, Cache 8MB, 4.4GHz (4.4Ghz Max Turbo), LGA 1150, Intel HD Graphics 4600 BX80646I74790K",Intel,Core i7-4790K,8MB,4.4GHz (4.4Ghz Max Turbo),LGA 1150
86,KB-PR-86,BX80637I33250,Kabum,"Processador Intel Core i3-3250 Ivy Bridge, Cache 3MB, 3.5GHz, LGA 1155, Intel HD Graphics 2500 BX80637I33250",Intel,Core i3-3250 Ivy Bridge,3MB,3.5GHz,LGA 1155
87,KB-PR-87,BX80677I77700,Kabum,"Processador Intel Core i7-7700 Kaby Lake, Cache 8MB, 3.6GHz (4.2GHz Max Turbo), LGA 1151 - BX80677I77700",Intel,Core i7-7700 Kaby Lake,8MB,3.6GHz (4.2GHz Max Turbo),LGA 1151
88,KB-PR-88,BX80673I99980X,Kabum,"Processador Intel Core i9-9980XE Skylake, Cache 24.75MB, 3GHz (4.5GHz Max Turbo), LGA 2066 - BX80673I99980X",Intel,Core i9-9980XE Skylake,24.75MB,3GHz (4.5GHz Max Turbo),LGA 2066
89,KB-PR-89,BX80662I56500,Kabum,"Processador Intel Core i5-6500 Skylake, Cache 6MB, 3.2GHZ (3.6Ghz Max Turbo), LGA 1151, Intel HD Graphics 530 BX80662I56500",Intel,Core i5-6500 Skylake,6MB,3.2GHZ (3.6Ghz Max Turbo),LGA 1151
90,KB-PR-90,BX8069510940X,Kabum,"Processador Intel Core i9-10940X Cascade Lake, Cache 19.25MB, 3.3GHz (4.8GHz Max Turbo), LGA 2066 - BX8069510940X ",Intel,Core i9-10940X Cascade Lake,19.25MB,3.3GHz (4.8GHz Max Turbo),LGA 2066
91,KB-PR-91,BX80684I58400,Kabum,"Processador Intel Core i5-8400 Coffee Lake, Cache 9MB, 2.8GHz (4GHz Max Turbo), LGA 1151 - BX80684I58400",Intel,Core i5-8400 Coffee Lake,9MB,2.8GHz (4GHz Max Turbo),LGA 1151
92,KB-PR-92,BX80648I75820K,Kabum,"Processador Intel Core i7-5820K Haswell-E, Cache 15MB, 3.3GHz (3.6GHz Max Turbo), LGA 2011-v3 BX80648I75820K",Intel,Core i7-5820K Haswell-E,15MB,3.3GHz (3.6GHz Max Turbo),LGA 2011
93,KB-PR-93,BX80662I36100,Kabum,"Processador Intel Core i3-6100 Skylake, Cache 3MB, 3.7Ghz, LGA 1151, Intel HD Graphics 530 BX80662I36100",Intel,Core i3-6100 Skylake,3MB,3.7Ghz,LGA 1151
94,KB-PR-94,BX80677I77740X,Kabum,"Processador Intel Core i7-7740X Kaby Lake, Cache 8MB, 4.3GHz (4.5GHz Max Turbo), LGA 2066 - BX80677I77740X",Intel,Core i7-7740X Kaby Lake,8MB,4.3GHz (4.5GHz Max Turbo),LGA 2066
95,KB-PR-95,BX80684I39350KF,Kabum,"Processador Intel Core i3-9350KF Coffee Lake, Cache 8MB, 4GHz (4.6GHz Max Turbo), LGA 1151 - BX80684I39350KF",Intel,Core i3-9350KF Coffee Lake,8MB,4GHz (4.6GHz Max Turbo),LGA 1151
96,KB-PR-96,BX80673I99960X,Kabum,"Processador Intel Core i9-9960X Skylake, Cache 22MB, 3.1GHz (4.4GHz Max Turbo), LGA 2066 - BX80673I99960X",Intel,Core i9-9960X Skylake,22MB,3.1GHz (4.4GHz Max Turbo),LGA 2066
97,KB-PR-97,BX80637I53330,Kabum,"Processador Intel Core i5-3330 Ivy Bridge, Cache 6MB, 3.0GHz (3.2GHz Max Turbo), LGA1155, Intel HD Graphics 2500 BX80637I53330",Intel,Core i5-3330 Ivy Bridge,6MB,3.0GHz (3.2GHz Max Turbo),LGA1155
98,KB-PR-98,BX80673I99900X,Kabum,"Processador Intel Core i9-9900X Skylake, Cache 19.25MB, 3.5GHz (4.4GHz Max Turbo), LGA 2066 - BX80673I99900X",Intel,Core i9-9900X Skylake,19.25MB,3.5GHz (4.4GHz Max Turbo),LGA 2066
99,KB-PR-99,BX80662I56600,Kabum,"Processador Intel Core I5-6600 Skylake, Cache 6MB, 3.3GHZ (3.9Ghz Max Turbo), LGA 1151, Intel HD Graphics 530 BX80662I56600",Intel,Core I5-6600 Skylake,6MB,3.3GHZ (3.9Ghz Max Turbo),LGA 1151
