id,code,sku,site,descricao,marca,potencia
165,KB-FT-165,GM600G,Kabum,"Fonte Gamemax GM600G, 600W, 80 Plus Platinum, Semi-Modular - GM600G",Gamemax,600W
166,KB-FT-166,GM500G,Kabum,"Fonte Gamemax GM500G, 500W, 80 Plus Gold, Semi-Modular - GM500G",Gamemax,500W
167,KB-FT-167,GM600,Kabum,Fonte Gamemax 600W 80 Plus Bronze Semi-Modular - GM600,Gamemax,600W
168,KB-FT-168,GP650,Kabum,"Fonte Gamemax GP650, 650W, 80 Plus Bronze - GP650",Gamemax,650W
169,KB-FT-169,GM500,Kabum,Fonte Gamemax 500W 80 Plus Bronze - GMX GM500,Gamemax,500W
170,KB-FT-170,GM650,Kabum,"Fonte Gamemax, 650W, 80 Plus Bronze - GM650",Gamemax,650W
171,KB-FT-171,BK,Kabum,Fonte Gamemax 800W 80 Plus Bronze Semi-Modular - GM800 BK,Gamemax,800W
172,KB-FT-172,GM550,Kabum,"Fonte Gamemax, 550W, 80 Plus Bronze - GM550",Gamemax,550W
173,KB-FT-173,GM1050,Kabum,Fonte Gamemax 1050W 80 Plus Silver Semi Modular - GMX GM1050,Gamemax,1050W
174,KB-FT-174,28200-P450B-1BRR,Kabum,"Fonte Gigabyte GP-P450B 450W, 80 Plus Bronze - 28200-P450B-1BRR",Gigabyte,450W
175,KB-FT-175,GP-P650B/BR,Kabum,Fonte Gigabyte 650W 80 Plus Bronze - GP-P650B/BR,Gigabyte,650W
176,KB-FT-176,FNT450W,Kabum,Fonte Hoopson 450W - FNT450W,Hoopson,450W
177,KB-FT-177,"",Kabum,Fonte Hoopson 230W - FNT230-H (FNT-230W+ ),Hoopson,230W
178,KB-FT-178,FNT-650W,Kabum,"Fonte Hoopson 650W, RGB - FNT-650W",Hoopson,650W
179,KB-FT-179,FNT-400W-S,Kabum,Fonte Hoopson 400W - FNT400-S (FNT-400W-S),Hoopson,400W
180,KB-FT-180,FNT-550C,Kabum,"Fonte Hoopson 550W, RGB - FNT-550C",Hoopson,550W
